ACMG59	ACMG Recommendations...
D008708	Methemoglobinemia
D008831	Microcephaly
D008844	Micrognathism
D008850	Microphthalmos
D008881	Migraine Disorders
D008944	Mitral Valve Insufficiency
D008945	Mitral Valve Prolapse
D008949	Adenoma, Pleomorphic
D008998	Monoclonal Gammopathy of Undetermined Significance
D009008	Abnormalities, Severe Teratoid
D009021	Morphine Dependence
D009056	Mouth Abnormalities
D009057	Stomatognathic Diseases
D009059	Mouth Diseases
D009062	Mouth Neoplasms
D009069	Movement Disorders
D009072	Moyamoya Disease
D009080	Mucocutaneous Lymph Node Syndrome
D009081	Mucolipidoses
D009083	Mucopolysaccharidoses
D009084	Mucopolysaccharidosis III
D009085	Mucopolysaccharidosis IV
D009087	Mucopolysaccharidosis VI
D009100	Multiple Carboxylase Deficiency
D009101	Multiple Myeloma
D009103	Multiple Sclerosis
D009120	Muscle Cramp
D009122	Muscle Hypertonia
D009123	Muscle Hypotonia
D009127	Muscle Rigidity
D009128	Muscle Spasticity
D009133	Muscular Atrophy
D009134	Muscular Atrophy, Spinal
D009135	Muscular Diseases
D009136	Muscular Dystrophies
D009139	Musculoskeletal Abnormalities
D009140	Musculoskeletal Diseases
D009157	Myasthenia Gravis
D009182	Mycosis Fungoides
D009187	Myelitis
D009188	Myelitis, Transverse
D009190	Myelodysplastic Syndromes
D009196	Myeloproliferative Disorders
D009202	Cardiomyopathies
D009203	Myocardial Infarction
D009205	Myocarditis
D009207	Myoclonus
D009212	Myoglobinuria
D009214	Myoma
D009216	Myopia
D009217	Myosarcoma
D009220	Myositis
D009221	Myositis Ossificans
D009222	Myotonia
D009223	Myotonic Dystrophy
D009224	Myotonia Congenita
D009232	Myxoma
D009260	Nail Diseases
D009261	Nail-Patella Syndrome
D009290	Narcolepsy
D009293	Opioid-Related Disorders
D009298	Nasal Polyps
D009302	Nasopharyngeal Diseases
D009303	Nasopharyngeal Neoplasms
D009358	Congenital, Hereditary, and Neonatal Diseases and Abnormalities
D009361	Neoplasm Invasiveness
D009362	Neoplasm Metastasis
D009364	Neoplasm Recurrence, Local
D009369	Neoplasms
D009370	Neoplasms by Histologic Type
D009371	Neoplasms by Site
D009372	Neoplasms, Connective Tissue
D009373	Neoplasms, Germ Cell and Embryonal
D009374	Neoplasms, Experimental
D009375	Neoplasms, Glandular and Epithelial
D009376	Neoplasms, Hormone-Dependent
D009377	Multiple Endocrine Neoplasia
D009378	Neoplasms, Multiple Primary
D009379	Neoplasms, Muscle Tissue
D009380	Neoplasms, Nerve Tissue
D009381	Neoplasms, Radiation-Induced
D009383	Neoplasms, Vascular Tissue
D009384	Paraneoplastic Endocrine Syndromes
D009385	Neoplastic Processes
D009386	Neoplastic Syndromes, Hereditary
D009393	Nephritis
D009394	Nephritis, Hereditary
D009395	Nephritis, Interstitial
D009396	Wilms Tumor
D009397	Nephrocalcinosis
D009401	Nephrosis
D009402	Nephrosis, Lipoid
D009404	Nephrotic Syndrome
D009408	Nerve Compression Syndromes
D009421	Nervous System Malformations
D009422	Nervous System Diseases
D009423	Nervous System Neoplasms
D009436	Neural Tube Defects
D009437	Neuralgia
D009442	Neurilemmoma
D009443	Neuritis
D009447	Neuroblastoma
D009455	Neurofibroma
D009456	Neurofibromatosis 1
D009461	Neurologic Manifestations
D009463	Neuroma
D009464	Neuroma, Acoustic
D009468	Neuromuscular Diseases
D009471	Neuromyelitis Optica
D009472	Neuronal Ceroid-Lipofuscinoses
D009477	Hereditary Sensory and Autonomic Neuropathies
D009503	Neutropenia
D009506	Nevus
D009508	Nevus, Pigmented
D009542	Niemann-Pick Diseases
D009634	Noonan Syndrome
D009668	Nose Diseases
D009669	Nose Neoplasms
D009748	Nutrition Disorders
D009750	Nutritional and Metabolic Diseases
D009755	Night Blindness
D009759	Nystagmus, Pathologic
D009765	Obesity
D009767	Obesity, Morbid
D009771	Obsessive-Compulsive Disorder
D009783	Dermatitis, Occupational
D009798	Ocular Hypertension
D009800	Oculocerebrorenal Syndrome
D009807	Odontogenic Cysts
D009808	Odontogenic Tumors
D009837	Oligodendroglioma
D009845	Oligospermia
D009846	Oliguria
D009849	Olivopontocerebellar Atrophies
D009886	Ophthalmoplegia
D009896	Optic Atrophy
D009901	Optic Nerve Diseases
D009902	Optic Neuritis
D009914	Oral Submucous Fibrosis
D009916	Orbital Diseases
D009958	Orofaciodigital Syndromes
D009959	Oropharyngeal Neoplasms
D010001	Osteitis Deformans
D010003	Osteoarthritis
D010004	Osteoarthropathy, Primary Hypertrophic
D010007	Osteochondritis
D010008	Osteochondritis Dissecans
D010009	Osteochondrodysplasias
D010013	Osteogenesis Imperfecta
D010014	Osteolysis
D010018	Osteomalacia
D010019	Osteomyelitis
D010020	Osteonecrosis
D010022	Osteopetrosis
D010023	Osteopoikilosis
D010024	Osteoporosis
D010026	Osteosclerosis
D010031	Otitis
D010033	Otitis Media
D010038	Otorhinolaryngologic Diseases
D010039	Otorhinolaryngologic Neoplasms
D010040	Otosclerosis
D010048	Ovarian Cysts
D010049	Ovarian Diseases
D010051	Ovarian Neoplasms
D010146	Pain
D010148	Pain, Intractable
D010149	Pain, Postoperative
D010181	Pancreatic Cyst
D010182	Pancreatic Diseases
D010188	Exocrine Pancreatic Insufficiency
D010190	Pancreatic Neoplasms
D010195	Pancreatitis
D010198	Pancytopenia
D010201	Panniculitis, Nodular Nonsuppurative
D010212	Papilloma
D010214	Papillon-Lefevre Disease
D010235	Paraganglioma
D010236	Paraganglioma, Extra-Adrenal
D010243	Paralysis
D010244	Bulbar Palsy, Progressive
D010245	Paralyses, Familial Periodic
D010254	Paranasal Sinus Diseases
D010255	Paranasal Sinus Neoplasms
D010257	Paraneoplastic Syndromes
D010259	Paranoid Disorders
D010264	Paraplegia
D010265	Paraproteinemias
D010267	Parapsoriasis
D010279	Parathyroid Diseases
D010282	Parathyroid Neoplasms
D010291	Paresis
D010292	Paresthesia
D010300	Parkinson Disease
D010302	Parkinson Disease, Secondary
D010381	Pelger-Huet Anomaly
D010382	Peliosis Hepatis
D010390	Pemphigoid, Benign Mucous Membrane
D010391	Pemphigoid, Bullous
D010392	Pemphigus
D010409	Penile Diseases
D010411	Penile Induration
D010412	Penile Neoplasms
D010437	Peptic Ulcer
D010438	Peptic Ulcer Hemorrhage
D010468	Perceptual Disorders
D010483	Periapical Diseases
D010485	Periapical Periodontitis
D010488	Polyarteritis Nodosa
D010490	Pericardial Effusion
D010493	Pericarditis
D010505	Familial Mediterranean Fever
D010510	Periodontal Diseases
D010518	Periodontitis
D010520	Aggressive Periodontitis
D010523	Peripheral Nervous System Diseases
D010524	Peripheral Nervous System Neoplasms
D010532	Peritoneal Diseases
D010538	Peritonitis
D010547	Persistent Fetal Circulation Syndrome
D010554	Personality Disorders
D010580	Peutz-Jeghers Syndrome
D010585	Phagocyte Bactericidal Dysfunction
D010608	Pharyngeal Diseases
D010610	Pharyngeal Neoplasms
D010623	Phencyclidine Abuse
D010661	Phenylketonurias
D010673	Pheochromocytoma
D010698	Phobic Disorders
D010760	Phosphorus Metabolism Disorders
D010787	Photosensitivity Disorders
D010855	Pierre Robin Syndrome
D010859	Pigmentation Disorders
D010899	Pituitary Apoplexy
D010900	Pituitary Diseases
D010911	Pituitary Neoplasms
D010915	Pityriasis
D010916	Pityriasis Rubra Pilaris
D010922	Placenta Diseases
D010981	Platelet Storage Pool Deficiency
D010995	Pleural Diseases
D010996	Pleural Effusion
D010998	Pleurisy
D011009	Pneumoconiosis
D011014	Pneumonia
D011015	Pneumonia, Aspiration
D011018	Pneumonia, Pneumococcal
D011024	Pneumonia, Viral
D011030	Pneumothorax
D011038	Rothmund-Thomson Syndrome
D011051	Poliomyelitis
D011085	Polycystic Ovary Syndrome
D011086	Polycythemia
D011087	Polycythemia Vera
D011115	Polyneuropathies
D011125	Adenomatous Polyposis Coli
D011141	Polyuria
D011164	Porphyrias
D011218	Prader-Willi Syndrome
D011225	Pre-Eclampsia
D011226	Pre-Excitation Syndromes
D011230	Precancerous Conditions
D011248	Pregnancy Complications
D011249	Pregnancy Complications, Cardiovascular
D011252	Pregnancy Complications, Neoplastic
D011254	Pregnancy in Diabetics
D011271	Pregnancy, Ectopic
D011297	Prenatal Exposure Delayed Effects
D011371	Progeria
D011378	Prognathism
D011469	Prostatic Diseases
D011470	Prostatic Hyperplasia
D011471	Prostatic Neoplasms
D011472	Prostatitis
D011488	Protein Deficiency
D011504	Protein-Losing Enteropathies
D011507	Proteinuria
D011535	Prune Belly Syndrome
D011537	Pruritus
D011546	Pseudohypoaldosteronism
D011547	Pseudohypoparathyroidism
D011556	Pseudopseudohypoparathyroidism
D011561	Pseudoxanthoma Elasticum
D011565	Psoriasis
D011595	Psychomotor Agitation
D011596	Psychomotor Disorders
D011605	Psychoses, Substance-Induced
D011618	Psychotic Disorders
D011625	Pterygium
D011628	Puberty, Delayed
D011629	Puberty, Precocious
D011644	Puerperal Disorders
D011649	Pulmonary Alveolar Proteinosis
D011654	Pulmonary Edema
D011655	Pulmonary Embolism
D011656	Pulmonary Emphysema
D011658	Pulmonary Fibrosis
D011666	Pulmonary Valve Stenosis
D011668	Pulmonary Veno-Occlusive Disease
D011681	Pupil Disorders
D011686	Purine-Pyrimidine Metabolism, Inborn Errors
D011693	Purpura
D011695	Purpura, Schoenlein-Henoch
D011696	Purpura, Thrombocytopenic
D011697	Purpura, Thrombotic Thrombocytopenic
D011702	Pyelitis
D011704	Pyelonephritis
D011707	Pyloric Stenosis
D011711	Pyoderma
D011782	Quadriplegia
D011928	Raynaud Disease
D012002	Rectal Diseases
D012004	Rectal Neoplasms
D012010	Red-Cell Aplasia, Pure
D012021	Reflex, Abnormal
D012030	Refractive Errors
D012035	Refsum Disease
D012120	Respiration Disorders
D012127	Respiratory Distress Syndrome, Newborn
D012128	Respiratory Distress Syndrome, Adult
D012130	Respiratory Hypersensitivity
D012131	Respiratory Insufficiency
D012140	Respiratory Tract Diseases
D012141	Respiratory Tract Infections
D012142	Respiratory Tract Neoplasms
D012148	Restless Legs Syndrome
D012162	Retinal Degeneration
D012163	Retinal Detachment
D012164	Retinal Diseases
D012166	Retinal Hemorrhage
D012170	Retinal Vein Occlusion
D012173	Retinitis
D012174	Retinitis Pigmentosa
D012175	Retinoblastoma
D012178	Retinopathy of Prematurity
D012181	Retrocochlear Diseases
D012206	Rhabdomyolysis
D012207	Rhabdomyoma
D012208	Rhabdomyosarcoma
D012216	Rheumatic Diseases
D012220	Rhinitis
D012221	Rhinitis, Allergic, Perennial
D012257	Riboflavin Deficiency
D012279	Rickets
D012415	Rubinstein-Taybi Syndrome
D012466	Salivary Gland Diseases
D012468	Salivary Gland Neoplasms
D012497	Sandhoff Disease
D012507	Sarcoidosis
D012509	Sarcoma
D012512	Sarcoma, Ewing
D012513	Sarcoma, Experimental
D012514	Sarcoma, Kaposi
D012516	Osteosarcoma
D012536	Scalp Dermatoses
D012559	Schizophrenia
D012561	Schizophrenia, Childhood
D012563	Schizophrenia, Paranoid
D012587	Scimitar Syndrome
D012594	Scleroderma, Localized
D012595	Scleroderma, Systemic
D012600	Scoliosis
D012608	Scrapie
D012618	Sea-Blue Histiocyte Syndrome
D012625	Sebaceous Gland Diseases
D012626	Sebaceous Gland Neoplasms
D012628	Dermatitis, Seborrheic
D012640	Seizures
D012678	Sensation Disorders
D012713	Serum Sickness
D012734	Disorders of Sex Development
D012735	Sexual Dysfunction, Physiological
D012749	Sexually Transmitted Diseases
D012751	Sezary Syndrome
D012770	Shock, Cardiogenic
D012779	Short Rib-Polydactyly Syndrome
D012791	Shy-Drager Syndrome
D012798	Sialorrhea
D012804	Sick Sinus Syndrome
D012829	Silicosis
D012848	Sinoatrial Block
D012851	Sinus Thrombosis, Intracranial
D012852	Sinusitis
D012857	Situs Inversus
D012859	Sjogren's Syndrome
D012868	Skin Abnormalities
D012871	Skin Diseases
D012872	Skin Diseases, Vesiculobullous
D012873	Skin Diseases, Genetic
D012874	Skin Diseases, Infectious
D012875	Skin Diseases, Metabolic
D012876	Skin Diseases, Parasitic
D012878	Skin Neoplasms
D012883	Skin Ulcer
D012888	Skull Neoplasms
D012891	Sleep Apnea Syndromes
D012892	Sleep Deprivation
D012893	Sleep Wake Disorders
D012983	Soft Tissue Neoplasms
D013001	Somatoform Disorders
D013009	Somnambulism
D013035	Spasm
D013036	Spasms, Infantile
D013064	Speech Disorders
D013103	Spherocytosis, Hereditary
D013106	Sphingolipidoses
D013117	Spinal Cord Compression
D013118	Spinal Cord Diseases
D013121	Spinal Curvatures
D013122	Spinal Diseases
D013132	Spinocerebellar Degenerations
D013158	Splenic Diseases
D013166	Spondylitis
D013167	Spondylitis, Ankylosing
D013217	Starvation
D013226	Status Epilepticus
D013262	Stevens-Johnson Syndrome
D013272	Stomach Diseases
D013274	Stomach Neoplasms
D013276	Stomach Ulcer
D013280	Stomatitis
D013285	Strabismus
D013313	Stress Disorders, Post-Traumatic
D013341	Sturge-Weber Syndrome
D013342	Stuttering
D013344	Subacute Sclerosing Panencephalitis
D013345	Subarachnoid Hemorrhage
D013375	Substance Withdrawal Syndrome
D013471	Sunburn
D013479	Superior Vena Cava Syndrome
D013494	Supranuclear Palsy, Progressive
D013543	Sweat Gland Diseases
D013544	Sweat Gland Neoplasms
D013576	Syndactyly
D013580	Synostosis
D013584	Sarcoma, Synovial
D013585	Synovitis
D013595	Syringomyelia
D013610	Tachycardia
D013616	Tachycardia, Sinus
D013617	Tachycardia, Supraventricular
D013625	Takayasu Arteritis
D013631	Tangier Disease
D013651	Taste Disorders
D013661	Tay-Sachs Disease
D013683	Telangiectasia, Hereditary Hemorrhagic
D013684	Telangiectasis
D013700	Giant Cell Arteritis
D013724	Teratoma
D013733	Testicular Diseases
D013734	Androgen-Insensitivity Syndrome
D013736	Testicular Neoplasms
D013746	Tetany
D013771	Tetralogy of Fallot
D013789	Thalassemia
D013796	Thanatophoric Dysplasia
D013832	Thiamine Deficiency
D013896	Thoracic Diseases
D013899	Thoracic Neoplasms
D013915	Thrombasthenia
D013920	Thrombocythemia, Essential
D013921	Thrombocytopenia
D013922	Thrombocytosis
D013923	Thromboembolism
D013927	Thrombosis
D013945	Thymoma
D013953	Thymus Neoplasms
D013959	Thyroid Diseases
D013964	Thyroid Neoplasms
D013966	Thyroiditis
D013967	Thyroiditis, Autoimmune
D013971	Thyrotoxicosis
D013981	Tic Disorders
D014012	Tinnitus
D014029	Tobacco Use Disorder
D014060	Tongue Diseases
D014062	Tongue Neoplasms
D014071	Tooth Abnormalities
D014076	Tooth Diseases
D014098	Toothache
D014103	Torticollis
D014133	Tracheal Diseases
D014138	Tracheoesophageal Fistula
D014188	Transposition of Great Vessels
D014202	Tremor
D014256	Trichotillomania
D014313	Trismus
D014328	Trophoblastic Neoplasms
D014339	Truncus Arteriosus, Persistent
D014397	Tuberculosis, Pulmonary
D014402	Tuberous Sclerosis
D014424	Turner Syndrome
D014474	Unconsciousness
D014511	Uremia
D014514	Ureteral Calculi
D014515	Ureteral Diseases
D014516	Ureteral Neoplasms
D014517	Ureteral Obstruction
D014522	Urethral Diseases
D014524	Urethral Obstruction
D014545	Urinary Calculi
D014552	Urinary Tract Infections
D014555	Urination Disorders
D014564	Urogenital Abnormalities
D014565	Urogenital Neoplasms
D014570	Urologic Diseases
D014571	Urologic Neoplasms
D014581	Urticaria
D014591	Uterine Diseases
D014594	Uterine Neoplasms
D014603	Uveal Diseases
D014604	Uveal Neoplasms
D014605	Uveitis
D014606	Uveitis, Anterior
D014607	Uveomeningoencephalitic Syndrome
D014623	Vaginal Diseases
D014625	Vaginal Neoplasms
D014627	Vaginitis
D014648	Varicose Veins
D014652	Vascular Diseases
D014657	Vasculitis
D014693	Ventricular Fibrillation
D014694	Ventricular Outflow Obstruction
D014718	Vesico-Ureteral Reflux
D014786	Vision Disorders
D014802	Vitamin A Deficiency
D014804	Vitamin B Deficiency
D014806	Vitamin B 12 Deficiency
D014808	Vitamin D Deficiency
D014811	Vitamin E Deficiency
D014820	Vitiligo
D014826	Vocal Cord Paralysis
D014832	Voice Disorders
D014842	von Willebrand Diseases
D014845	Vulvar Diseases
D014847	Vulvitis
D014848	Vulvovaginitis
D014849	Waardenburg Syndrome
D014854	Lateral Medullary Syndrome
D014860	Warts
D014869	Water Intoxication
D014883	Water-Electrolyte Imbalance
D014890	Granulomatosis with Polyangiitis
D014897	Spinal Muscular Atrophies of Childhood
D014898	Werner Syndrome
D014899	Wernicke Encephalopathy
D014901	West Nile Fever
D014923	Wiskott-Aldrich Syndrome
D014927	Wolff-Parkinson-White Syndrome
D014929	Wolfram Syndrome
D014973	Xanthomatosis
D014983	Xeroderma Pigmentosum
D014987	Xerostomia
D015140	Dementia, Vascular
D015154	Esophageal Motility Disorders
D015160	Hydrops Fetalis
D015173	Supratentorial Neoplasms
D015175	Prolactinoma
D015179	Colorectal Neoplasms
D015192	Infratentorial Neoplasms
D015207	Osteoarthritis, Hip
D015209	Cholangitis, Sclerosing
D015210	Arthritis, Gouty
D015211	Zellweger Syndrome
D015212	Inflammatory Bowel Diseases
D015217	Cholesterol Ester Storage Disease
D015223	Wolman Disease
D015228	Hypertriglyceridemia
D015231	Sexually Transmitted Diseases, Bacterial
D015266	Carcinoma, Merkel Cell
D015318	Fructose Metabolism, Inborn Errors
D015319	Fructose-1,6-Diphosphatase Deficiency
D015323	Pyruvate Metabolism, Inborn Errors
D015324	Pyruvate Carboxylase Deficiency Disease
D015325	Pyruvate Dehydrogenase Complex Deficiency Disease
D015352	Dry Eye Syndromes
D015408	Gastrinoma
D015417	Hereditary Sensory and Motor Neuropathy
D015418	Optic Atrophies, Hereditary
D015419	Spastic Paraplegia, Hereditary
D015427	Reperfusion Injury
D015428	Myocardial Reperfusion Injury
D015432	Glomerulonephritis, Membranoproliferative
D015433	Glomerulonephritis, Membranous
D015434	Panniculitis
D015448	Leukemia, B-Cell
D015451	Leukemia, Lymphocytic, Chronic, B-Cell
D015452	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
D015456	Leukemia, Biphenotypic, Acute
D015458	Leukemia, T-Cell
D015459	Leukemia-Lymphoma, Adult T-Cell
D015461	Leukemia, Prolymphocytic, T-Cell
D015463	Leukemia, Prolymphocytic
D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
D015467	Leukemia, Neutrophilic, Chronic
D015470	Leukemia, Myeloid, Acute
D015471	Leukemia, Basophilic, Acute
D015473	Leukemia, Promyelocytic, Acute
D015477	Leukemia, Myelomonocytic, Chronic
D015479	Leukemia, Myelomonocytic, Acute
D015499	Renal Tubular Transport, Inborn Errors
D015508	Nasal Obstruction
D015518	Rett Syndrome
D015535	Arthritis, Psoriatic
D015576	Hyperostosis
D015593	Retinal Drusen
D015594	Optic Disk Drusen
D015614	Histiocytosis
D015616	Histiocytosis, Non-Langerhans-Cell
D015618	Histiocytosis, Sinus
D015619	Respiratory System Abnormalities
D015658	HIV Infections
D015663	Osteoporosis, Postmenopausal
D015674	Mammary Neoplasms, Animal
D015746	Abdominal Pain
D015769	Granuloma, Respiratory Tract
D015776	Keratoderma, Palmoplantar, Diffuse
D015783	Aniridia
D015785	Eye Diseases, Hereditary
D015792	Retinal Dysplasia
D015794	Choroideremia
D015799	Gyrate Atrophy
D015812	Glaucoma, Angle-Closure
D015817	Eye Infections
D015818	Eye Infections, Bacterial
D015826	Langer-Giedion Syndrome
D015831	Osteochondroma
D015834	Cochlear Diseases
D015835	Ocular Motility Disorders
D015837	Vestibular Diseases
D015858	Anisometropia
D015862	Choroid Diseases
D015864	Panuveitis
D015866	Uveitis, Posterior
D015877	Miosis
D016055	Urinary Retention
D016080	Arachnoid Cysts
D016098	Gerstmann-Straussler-Scheinker Disease
D016104	Oligohydramnios
D016108	Epidermolysis Bullosa Dystrophica
D016109	Epidermolysis Bullosa, Junctional
D016110	Epidermolysis Bullosa Simplex
D016111	Sjogren-Larsson Syndrome
D016112	Ichthyosis Vulgaris
D016113	Ichthyosiform Erythroderma, Congenital
D016114	Ichthyosis, X-Linked
D016115	Albinism, Oculocutaneous
D016116	Piebaldism
D016117	Albinism, Ocular
D016127	Heart Valve Prolapse
D016135	Spinal Dysraphism
D016137	Spina Bifida Cystica
D016142	Holoprosencephaly
D016154	Digestive System Fistula
D016156	Respiratory Tract Fistula
D016171	Torsades de Pointes
D016269	Milk Hypersensitivity
D016301	Alveolar Bone Loss
D016393	Lymphoma, B-Cell
D016399	Lymphoma, T-Cell
D016403	Lymphoma, Large B-Cell, Diffuse
D016410	Lymphoma, T-Cell, Cutaneous
D016411	Lymphoma, T-Cell, Peripheral
D016464	Lysosomal Storage Diseases
D016471	Ovarian Hyperstimulation Syndrome
D016472	Motor Neuron Disease
D016483	Lymphoma, AIDS-Related
D016491	Peripheral Vascular Diseases
D016506	Pemphigus, Benign Familial
D016510	Corneal Neovascularization
D016511	Severe Combined Immunodeficiency
D016518	Neurofibromatosis 2
D016532	Mucopolysaccharidosis II
D016534	Cardiac Output, High
D016535	Bronchial Hyperreactivity
D016537	Gangliosidosis, GM1
D016538	Mucopolysaccharidosis VII
D016543	Central Nervous System Neoplasms
D016545	Choroid Plexus Neoplasms
D016553	Purpura, Thrombocytopenic, Idiopathic
D016569	Blepharophimosis
D016575	Hidradenitis
D016584	Panic Disorder
D016603	Eosinophilia-Myalgia Syndrome
D016609	Neoplasms, Second Primary
D016640	Diabetes, Gestational
D016649	Primary Ovarian Insufficiency
D016657	Cerebral Amyloid Angiopathy
D016715	Proteus Syndrome
D016726	Plasma Cell Granuloma, Pulmonary
D016738	Alagille Syndrome
D016757	Death, Sudden, Cardiac
D016769	Embolism and Thrombosis
D016773	Leishmaniasis, Cutaneous
D016864	Li-Fraumeni Syndrome
D016883	Diabetic Ketoacidosis
D016884	Polyendocrinopathies, Autoimmune
D016888	Angiodysplasia
D016889	Endometrial Neoplasms
D016891	Polycystic Kidney, Autosomal Dominant
D016893	Carotid Stenosis
D016920	Meningitis, Bacterial
D017001	Tooth Demineralization
D017029	Epilepsy, Complex Partial
D017034	Epilepsy, Frontal Lobe
D017042	Phenylketonuria, Maternal
D017044	Polycystic Kidney, Autosomal Recessive
D017074	Common Variable Immunodeficiency
D017085	alpha-Thalassemia
D017086	beta-Thalassemia
D017088	AIDS-Related Opportunistic Infections
D017092	Porphyria, Erythropoietic
D017093	Liver Failure
D017094	Porphyrias, Hepatic
D017096	Prion Diseases
D017098	IgA Deficiency
D017114	Liver Failure, Acute
D017116	Low Back Pain
D017118	Porphyria, Acute Intermittent
D017119	Porphyria Cutanea Tarda
D017121	Porphyria, Hepatoerythropoietic
D017180	Tachycardia, Ventricular
D017192	Skin Diseases, Bacterial
D017193	Skin Diseases, Viral
D017202	Myocardial Ischemia
D017204	Angelman Syndrome
D017219	Gastric Outlet Obstruction
D017237	Mitochondrial Encephalomyopathies
D017240	Mitochondrial Myopathies
D017241	MELAS Syndrome
D017243	MERRF Syndrome
D017246	Ophthalmoplegia, Chronic Progressive External
D017253	Neurofibromatoses
D017271	Craniomandibular Disorders
D017285	Polymyositis
D017379	Hypertrophy, Left Ventricular
D017380	Hypertrophy, Right Ventricular
D017436	Kallmann Syndrome
D017437	Skin and Connective Tissue Diseases
D017443	Skin Diseases, Eczematous
D017444	Skin Diseases, Papulosquamous
D017445	Skin Diseases, Vascular
D017449	Dermatitis, Allergic Contact
D017453	Dermatitis, Irritant
D017486	Acneiform Eruptions
D017488	Hyperkeratosis, Epidermolytic
D017490	Ichthyosis, Lamellar
D017492	Keratosis, Seborrheic
D017495	Hyperpigmentation
D017496	Hypopigmentation
D017497	Hidradenitis Suppurativa
D017499	Porokeratosis
D017511	Pyoderma Gangrenosum
D017512	Lichenoid Eruptions
D017520	Mucinoses
D017542	Aneurysm, Ruptured
D017544	Aortic Aneurysm, Abdominal
D017545	Aortic Aneurysm, Thoracic
D017563	Lung Diseases, Interstitial
D017566	Microvascular Angina
D017588	Hyperandrogenism
D017599	Neuroectodermal Tumors
D017624	WAGR Syndrome
D017674	Hypophosphatemia
D017681	Hypereosinophilic Syndrome
D017682	Myocardial Stunning
D017689	Polydactyly
D017696	Myopathies, Nemaline
D017700	Embolism, Cholesterol
D017728	Lymphoma, Large-Cell, Anaplastic
D017731	Lymphomatoid Papulosis
D017760	Bone Malalignment
D017772	Amyloid Neuropathies
D017825	Canavan Disease
D017827	Machado-Joseph Disease
D017880	Limb Deformities, Congenital
D017887	Ossification of Posterior Longitudinal Ligament
D017889	Exfoliation Syndrome
D018126	Odontodysplasia
D018149	Glucose Intolerance
D018159	Endolymphatic Hydrops
D018190	Lymphatic Vessel Tumors
D018192	Lymphangioleiomyomatosis
D018193	Neoplasms, Complex and Mixed
D018197	Hepatoblastoma
D018200	Mixed Tumor, Mullerian
D018201	Nephroma, Mesoblastic
D018202	Pulmonary Blastoma
D018203	Sarcoma, Endometrial Stromal
D018204	Neoplasms, Connective and Soft Tissue
D018205	Neoplasms, Adipose Tissue
D018207	Angiomyolipoma
D018208	Liposarcoma, Myxoid
D018210	Chondromatosis
D018211	Chondrosarcoma, Mesenchymal
D018212	Giant Cell Tumor of Bone
D018213	Neoplasms, Bone Tissue
D018216	Osteochondromatosis
D018218	Neoplasms, Fibrous Tissue
D018219	Histiocytoma, Benign Fibrous
D018221	Fibromatosis, Abdominal
D018222	Fibromatosis, Aggressive
D018224	Myofibromatosis
D018225	Neoplasms, Fibroepithelial
D018226	Fibroadenoma
D018227	Sarcoma, Clear Cell
D018230	Leiomyoma, Epithelioid
D018231	Leiomyomatosis
D018232	Rhabdomyosarcoma, Alveolar
D018233	Rhabdomyosarcoma, Embryonal
D018234	Sarcoma, Alveolar Soft Part
D018235	Smooth Muscle Tumor
D018237	Germinoma
D018239	Seminoma
D018241	Neuroectodermal Tumors, Primitive, Peripheral
D018242	Neuroectodermal Tumors, Primitive
D018248	Adenoma, Liver Cell
D018249	Adenoma, Oxyphilic
D018256	Adenomatous Polyps
D018262	Adenocarcinoma, Clear Cell
D018263	Adenocarcinoma, Follicular
D018268	Adrenocortical Carcinoma
D018269	Carcinoma, Endometrioid
D018270	Carcinoma, Ductal, Breast
D018273	Carcinoma, Islet Cell
D018275	Carcinoma, Lobular
D018276	Carcinoma, Medullary
D018278	Carcinoma, Neuroendocrine
D018281	Cholangiocarcinoma
D018287	Carcinoma, Large Cell
D018288	Carcinoma, Small Cell
D018290	Cervical Intraepithelial Neoplasia
D018295	Neoplasms, Basal Cell
D018296	Pilomatrixoma
D018297	Neoplasms, Cystic, Mucinous, and Serous
D018299	Neoplasms, Ductal, Lobular, and Medullary
D018301	Neoplasms, Mesothelial
D018302	Neoplasms, Neuroepithelial
D018305	Ganglioneuroblastoma
D018307	Neoplasms, Squamous Cell
D018309	Neoplasms, Gonadal Tissue
D018310	Sertoli-Leydig Cell Tumor
D018312	Sex Cord-Gonadal Stromal Tumors
D018316	Gliosarcoma
D018317	Nerve Sheath Neoplasms
D018318	Neurofibroma, Plexiform
D018319	Neurofibrosarcoma
D018323	Hemangioendothelioma, Epithelioid
D018324	Hemangioma, Capillary
D018325	Hemangioblastoma
D018326	Nevi and Melanomas
D018328	Melanoma, Amelanotic
D018335	Rhabdoid Tumor
D018358	Neuroendocrine Tumors
D018365	Neoplasm, Residual
D018370	Leukocyte-Adhesion Deficiency Syndrome
D018376	Cardiovascular Abnormalities
D018382	Thyroid Hormone Resistance Syndrome
D018410	Pneumonia, Bacterial
D018442	Lymphoma, B-Cell, Marginal Zone
D018476	Hypokinesia
D018487	Ventricular Dysfunction, Left
D018497	Ventricular Dysfunction, Right
D018500	Diabetes Insipidus, Nephrogenic
D018567	Breast Neoplasms, Male
D018589	Gastroparesis
D018630	Vitreoretinopathy, Proliferative
D018636	Hypoplastic Left Heart Syndrome
